 step             ds     free_energy        pressure
    0  0.0000000e+00   4.2572613e-01  -1.0482347e+01
    1  2.5000000e-02   4.2803184e-01  -1.0464834e+01
    2  5.0000000e-02   4.3033227e-01  -1.0447275e+01
    3  7.5000000e-02   4.3262509e-01  -1.0429686e+01
    4  1.0000000e-01   4.3491434e-01  -1.0412114e+01
    5  1.2500000e-01   4.3719776e-01  -1.0394566e+01
    6  1.5000000e-01   4.3947391e-01  -1.0377016e+01
    7  1.7500000e-01   4.4173943e-01  -1.0359568e+01
    8  2.0000000e-01   4.4399990e-01  -1.0342429e+01
    9  2.2500000e-01   4.4625504e-01  -1.0325797e+01
   10  2.5000000e-01   4.4849432e-01  -1.0309366e+01
   11  2.7500000e-01   4.5072640e-01  -1.0293685e+01
   12  3.0000000e-01   4.5295422e-01  -1.0279294e+01
   13  3.2500000e-01   4.5519354e-01  -1.0267938e+01
   14  3.5000000e-01   4.5741390e-01  -1.0253450e+01
   15  3.7500000e-01   4.5961826e-01  -1.0234893e+01
   16  4.0000000e-01   4.6182248e-01  -1.0209420e+01
   17  4.2500000e-01   4.6398681e-01  -1.0171053e+01
   18  4.5000000e-01   4.6614485e-01  -1.0130665e+01
   19  4.7500000e-01   4.6829590e-01  -1.0097599e+01
   20  5.0000000e-01   4.7048015e-01  -1.0085835e+01
   21  5.2500000e-01   4.7264780e-01  -1.0088259e+01
   22  5.5000000e-01   4.7482561e-01  -1.0109954e+01
   23  5.7500000e-01   4.7698201e-01  -1.0142023e+01
   24  6.0000000e-01   4.7913881e-01  -1.0189393e+01
   25  6.2500000e-01   4.8132144e-01  -1.0265633e+01
   26  6.5000000e-01   4.8345080e-01  -1.0285414e+01
   27  6.7500000e-01   4.8555776e-01  -1.0265168e+01
   28  7.0000000e-01   4.8765466e-01  -1.0215698e+01
   29  7.2500000e-01   4.8973427e-01  -1.0123785e+01
   30  7.5000000e-01   4.9175509e-01  -9.9794529e+00
   31  7.7500000e-01   4.9384976e-01  -9.9803826e+00
   32  8.0000000e-01   4.9597353e-01  -1.0106574e+01
   33  8.2500000e-01   4.9812715e-01  -1.0257795e+01
   34  8.5000000e-01   5.0017773e-01  -1.0230490e+01
   35  8.7500000e-01   5.0217885e-01  -1.0083652e+01
   36  9.0000000e-01   5.0414934e-01  -9.9210383e+00
   37  9.2500000e-01   5.0619069e-01  -9.9115468e+00
   38  9.5000000e-01   5.0830679e-01  -1.0090616e+01
   39  9.7500000e-01   5.1039012e-01  -1.0181642e+01
   40  1.0000000e+00   5.1237493e-01  -1.0105153e+01
